EmpID, ProjectID, DateFrom, DateTo
1, 10, 2013-11-01, 2014-01-05
2, 11, 2012-05-16, NULL
3, 12, 2009-01-01, 2011-04-27
4, 13, 2013-11-01, 2014-01-05
5, 14, 2012-05-16, NULL
6, 15, 2009-01-01, 2011-04-27
7, 16, 2013-11-01, 2014-01-05
8, 17, 2012-05-16, NULL
9, 18, 2009-01-01, 2011-04-27
10, 12, 2011-04-20, 2014-01-05
11, 13, 2014-01-01, NULL
12, 14, 2025-10-01, 2025-10-15
13, 15, 2009-11-01, 2014-01-05
14, 15, 2011-03-16, 2011-04-20
15, 15, 2011-03-01, 2011-04-27
16, 15, 2011-03-01, 2011-01-05
17, 15, 2025-10-15, NULL
6, 14, 2025-10-01, 2025-10-15
13, 14, 2025-10-01, 2025-10-15
6, 12, 2025-10-01, 2025-10-15
13, 12, 2025-10-01, 2025-10-15